iter	Passed	Remaining
0	14714	7342734
1	28518	7101102
2	44113	7308160
3	61751	7657153
4	75888	7512923
5	90305	7435192
6	110577	7787838
7	128024	7873518
8	146588	7997194
9	167113	8188544
10	184695	8210576
11	204521	8317211
12	221678	8304427
13	238952	8295066
14	257278	8318683
15	275620	8337519
16	294839	8376896
17	310527	8315241
18	329836	8350081
19	347024	8328589
20	367442	8381180
21	385782	8381993
22	405498	8409685
23	426223	8453430
24	441478	8388090
25	459077	8369344
26	478544	8383383
27	498379	8401247
28	517626	8406962
29	538360	8434322
30	562312	8507251
31	582471	8518641
32	610714	8642528
33	629206	8623824
34	645780	8579653
35	666544	8591012
36	686461	8590042
37	705809	8581162
38	724191	8560320
39	745439	8572556
40	765543	8570347
41	785166	8562053
42	803851	8543255
43	825136	8551418
44	845987	8553875
45	862136	8508912
46	882683	8507562
47	903625	8509142
48	924792	8511862
49	940878	8467904
50	962653	8475121
51	985130	8487281
52	1004801	8474457
53	1023022	8449409
54	1040940	8422155
55	1061547	8416553
56	1079944	8393252
57	1099509	8379019
58	1115892	8340821
59	1136724	8335980
60	1157605	8330965
61	1176265	8309744
62	1198322	8312174
63	1221232	8319647
64	1242525	8315364
65	1262687	8303128
66	1282624	8289199
67	1298512	8249376
68	1320386	8247631
69	1344613	8259766
70	1365529	8250878
71	1384950	8232760
72	1404459	8215123
73	1424894	8202769
74	1446417	8196363
75	1470786	8205440
76	1494224	8208530
77	1515310	8198216
78	1537036	8191041
79	1558875	8184094
80	1578570	8165694
81	1598878	8150380
82	1622500	8151600
83	1641315	8128419
84	1663974	8124111
85	1683772	8105604
86	1705652	8096946
87	1727897	8089701
88	1747461	8069736
89	1769283	8060068
90	1796104	8072600
91	1816852	8057343
92	1838367	8045329
93	1860520	8035864
94	1887304	8045876
95	1907690	8028198
96	1925983	8001765
97	1944854	7977874
98	1964568	7957494
99	1989200	7956803
100	2010615	7942927
101	2037108	7948716
102	2065368	7960690
103	2085166	7939672
104	2105829	7921928
105	2123500	7893009
106	2143836	7874090
107	2166018	7861844
108	2187822	7848059
109	2208751	7831027
110	2224116	7794425
111	2245982	7780726
112	2267034	7764090
113	2287000	7743702
114	2304738	7715862
115	2328731	7708904
116	2349832	7692187
117	2373478	7683633
118	2393816	7664236
119	2419738	7662505
120	2440089	7642926
121	2461194	7625669
122	2485519	7618218
123	2510053	7611131
124	2525351	7576054
125	2545780	7556522
126	2568509	7543731
127	2588647	7523256
128	2615900	7523248
129	2640351	7514845
130	2667455	7513673
131	2695024	7513400
132	2714203	7489569
133	2738124	7478757
134	2759076	7459726
135	2779089	7438151
136	2803999	7429575
137	2825731	7412425
138	2853602	7411154
139	2876756	7397373
140	2900860	7385879
141	2920268	7362367
142	2943241	7347813
143	2963562	7326584
144	2986536	7311864
145	3007899	7293126
146	3031303	7279253
147	3059394	7276397
148	3078863	7252894
149	3101126	7235960
150	3128382	7230498
151	3146451	7203718
152	3174252	7199122
153	3193349	7174669
154	3214556	7154981
155	3238954	7142309
156	3257634	7116997
157	3285396	7111428
158	3311823	7102715
159	3333429	7083537
160	3355654	7065633
161	3379248	7050530
162	3403210	7036086
163	3423791	7014598
164	3451582	7007757
165	3475439	6992751
166	3498888	6976825
167	3520612	6957400
168	3545385	6943920
169	3568415	6926924
170	3586003	6899387
171	3608841	6881977
172	3632938	6866883
173	3653904	6845821
174	3677471	6829589
175	3698598	6808783
176	3720308	6789037
177	3741862	6768986
178	3761719	6745876
179	3789369	6736656
180	3809911	6714706
181	3831319	6694284
182	3853655	6675458
183	3877762	6659636
184	3905890	6650570
185	3933342	6640158
186	3959275	6627022
187	3985210	6613753
188	4005774	6591513
189	4028698	6573139
190	4049755	6551699
191	4074344	6535926
192	4097189	6517291
193	4117010	6493841
194	4146915	6486201
195	4167469	6463830
196	4190445	6445203
197	4214961	6428880
198	4236349	6407744
199	4262908	6394362
200	4280731	6367854
201	4301723	6346106
202	4322285	6323737
203	4347703	6308431
204	4374134	6294486
205	4393637	6270531
206	4414593	6248675
207	4441487	6235165
208	4463061	6214119
209	4483862	6192001
210	4508816	6175582
211	4531703	6156276
212	4557503	6140861
213	4584230	6126588
214	4611692	6113173
215	4636509	6096151
216	4660450	6077914
217	4684028	6059155
218	4703555	6035156
219	4725409	6014157
220	4752188	5999369
221	4773579	5977726
222	4795323	5956523
223	4823210	5942884
224	4844363	5920888
225	4870687	5905170
226	4892972	5884499
227	4911750	5859632
228	4932667	5837348
229	4952891	5814264
230	4974710	5793061
231	5001105	5777138
232	5029270	5763155
233	5046156	5736228
234	5066576	5713373
235	5092006	5696143
236	5115046	5676190
237	5139027	5657249
238	5159041	5633932
239	5180218	5611903
240	5202160	5590703
241	5231678	5577574
242	5253114	5555762
243	5275141	5534574
244	5301919	5518324
245	5326824	5500054
246	5346615	5476493
247	5368882	5455477
248	5391975	5435284
249	5417613	5417613
250	5441841	5398479
251	5465672	5378915
252	5488512	5358349
253	5508964	5335453
254	5529464	5312622
255	5553689	5293360
256	5575341	5271626
257	5595045	5248065
258	5615463	5225199
259	5639710	5205886
260	5661181	5183993
261	5681316	5160890
262	5706558	5142411
263	5729504	5121829
264	5757255	5105491
265	5782540	5086896
266	5807697	5068140
267	5834950	5051150
268	5863149	5034898
269	5887733	5015477
270	5915076	4998348
271	5935259	4975143
272	5957632	4953782
273	5974034	4927487
274	5995556	4905455
275	6020856	4886491
276	6048128	4869070
277	6071834	4848731
278	6100717	4832468
279	6130377	4816725
280	6163531	4803606
281	6195607	4789512
282	6220717	4769949
283	6250530	4753924
284	6275327	4734018
285	6300433	4714310
286	6326938	4695602
287	6349190	4673709
288	6373227	4653117
289	6393499	4629775
290	6417737	4609302
291	6440795	4587963
292	6462386	4565576
293	6484147	4543314
294	6503289	4519234
295	6523766	4496109
296	6549792	4476794
297	6573741	4456025
298	6593161	4432192
299	6616017	4410678
300	6639560	4389609
301	6671140	4373794
302	6696870	4354070
303	6721049	4333308
304	6752237	4317004
305	6784229	4301112
