iter	Accuracy	MultiClass
0	0.6539111111	1.709933814
1	0.2498055556	49.34449572
2	0.6412944444	564.3841631
3	0.5962722222	564.3497986
4	0.6447944444	463.4628732
5	0.5548611111	367.8384768
6	0.6464333333	290.4550248
7	0.6517611111	238.6040143
8	0.6354277778	150.1303259
9	0.6489	133.0569297
10	0.4565333333	138.5880805
11	0.6395444444	327.18676
12	0.6023833333	282.9955344
13	0.6401611111	235.5218318
14	0.5629555556	239.2873381
15	0.6427	196.5730806
16	0.6373611111	112.5071573
17	0.4180722222	154.8408287
18	0.6112722222	129.7630869
19	0.5861555556	71.96045408
20	0.4601611111	151.9853383
21	0.6276111111	171.4489976
22	0.6252388889	150.578123
23	0.5749111111	145.0402749
24	0.5745388889	123.0584623
25	0.6163222222	103.6814144
26	0.5535555556	125.5406062
27	0.5944055556	117.3297507
28	0.6103666667	84.21258319
29	0.4717333333	140.237098
30	0.6188444444	160.8039986
31	0.607	160.4706454
32	0.6045611111	140.6833678
33	0.5752833333	144.445287
34	0.5667666667	135.8357123
35	0.58145	116.3557321
36	0.6173222222	80.58709008
37	0.4773444444	171.8923249
38	0.4868666667	131.3308454
39	0.6176277778	189.3574503
40	0.6192055556	175.1837656
41	0.5992722222	167.5899148
42	0.6124944444	159.0512684
43	0.6140833333	136.7321806
44	0.6142666667	125.2701797
45	0.5976333333	114.2637834
46	0.5969944444	113.0221568
47	0.5972388889	111.9939256
48	0.5911055556	111.4020276
49	0.5943611111	108.3205395
50	0.5927777778	101.8072127
51	0.6025833333	91.90172306
52	0.5163666667	107.684033
53	0.6102166667	116.4617682
54	0.6047555556	113.8241267
55	0.5826166667	113.7500836
56	0.6122222222	114.1690028
57	0.5981055556	112.1033281
58	0.5980222222	111.2728867
59	0.5774666667	109.4306461
60	0.5897	108.8009177
61	0.5948611111	108.3102131
62	0.6001944444	108.2224215
63	0.5961833333	107.5723431
64	0.5931833333	108.1592122
65	0.5908555556	106.6862991
66	0.6014722222	105.3981507
67	0.6011055556	105.275807
68	0.5881388889	104.5269894
69	0.5881555556	103.0002997
70	0.6063111111	103.1243636
71	0.6037388889	103.1050408
72	0.5992666667	102.5430362
73	0.5988944444	101.5984145
74	0.59115	100.8947303
75	0.5971833333	99.09900928
76	0.5997277778	99.03106254
77	0.5714777778	101.5964317
78	0.5947388889	98.18189434
79	0.5924222222	97.43059497
80	0.5930111111	96.56737173
81	0.5932777778	94.4380527
82	0.587	93.66956978
83	0.5893	93.32937488
84	0.5926333333	93.31595392
85	0.5924722222	92.50631312
86	0.5923055556	92.21014204
87	0.5925055556	91.63814436
88	0.5983722222	91.48606988
89	0.6013388889	91.14539328
90	0.6002666667	91.10783688
91	0.6025611111	90.80464433
92	0.6020055556	90.7563326
93	0.5999222222	90.60325965
94	0.6013388889	90.50321444
95	0.5987055556	90.12882803
96	0.6001277778	90.05271871
97	0.6011611111	89.99873261
98	0.5965055556	89.39314153
99	0.5974166667	88.27030362
100	0.5962666667	88.18491591
101	0.5983833333	88.06755887
102	0.6003111111	88.05465551
103	0.59935	87.20753826
104	0.5712277778	87.02779805
